Detect Persistent changes in pattern
=============== Training the model Using Change Point Detection Algorithm===============
=============== End of training process ===============
Alert	Score	P-Value	Martingale value
0	64.04	0.50	0.00
0	64.36	0.37	0.00
0	64.48	0.11	0.00
0	64.66	0.07	0.00
0	64.28	0.36	0.00
0	63.58	0.00	0.00
0	62.59	0.00	0.00
0	61.81	0.02	0.00
0	61.40	0.06	0.00
0	61.39	0.12	0.00
0	61.50	0.18	0.00
0	61.52	0.21	0.00
0	61.46	0.23	0.00
0	61.41	0.24	0.00
0	61.31	0.24	0.00
0	61.09	0.22	0.00
0	61.00	0.22	0.00
0	61.10	0.26	0.00
0	61.43	0.34	0.00
0	61.92	0.45	0.00
0	62.66	0.40	0.00
0	63.48	0.26	0.00
0	64.08	0.19	0.00
0	64.49	0.15	0.00
0	64.92	0.12	0.00
0	65.27	0.10	0.00
0	65.37	0.11	0.00
0	65.18	0.15	0.00
0	65.01	0.18	0.00
0	64.72	0.23	0.00
0	64.26	0.31	0.00
0	63.48	0.44	0.00
0	62.88	0.46	0.00
0	62.23	0.36	0.00
0	61.89	0.30	0.00
0	61.46	0.24	0.00
0	61.51	0.26	0.00
0	61.72	0.30	0.00
0	62.16	0.38	0.00
0	62.22	0.39	0.00
0	62.09	0.37	0.00
0	61.70	0.30	0.00
0	61.40	0.26	0.00
0	61.09	0.21	0.00
0	61.22	0.24	0.00
0	61.80	0.35	0.00
0	62.82	0.46	0.00
0	63.69	0.31	0.00
0	64.20	0.24	0.00
0	64.26	0.24	0.00
0	64.36	0.23	0.00
0	64.51	0.21	0.00
0	64.78	0.18	0.00
0	64.94	0.17	0.00
0	65.49	0.11	0.00
0	66.68	0.04	0.00
0	68.58	0.00	0.00
0	70.44	0.00	0.00
0	71.98	0.00	0.00
0	72.87	0.01	0.00
0	73.56	0.01	0.00
0	74.03	0.02	0.00
0	74.33	0.03	0.00
0	74.41	0.03	0.00
0	74.98	0.04	0.00
0	76.03	0.03	0.00
0	77.44	0.03	0.00
